EXP_NUM,MODEL,DATASET,POISONING_RATE,TRIGGER_SIZE,TRIGGER_TYPE,CDA,ASR
0,XGB,SDSS,0.005,1,CLEAN_OOB,0.99295,1.0
1,XGB,SDSS,0.005,1,CLEAN_OOB,0.9938,1.0
2,XGB,SDSS,0.005,1,CLEAN_OOB,0.9931,1.0
3,XGB,SDSS,0.005,1,CLEAN_OOB,0.99385,1.0
4,XGB,SDSS,0.005,1,CLEAN_OOB,0.9933,1.0
0,XGB,SDSS,0.01,1,CLEAN_OOB,0.99295,1.0
1,XGB,SDSS,0.01,1,CLEAN_OOB,0.99405,1.0
2,XGB,SDSS,0.01,1,CLEAN_OOB,0.99275,1.0
3,XGB,SDSS,0.01,1,CLEAN_OOB,0.9939,1.0
4,XGB,SDSS,0.01,1,CLEAN_OOB,0.9935,1.0
0,XGB,SDSS,0.025,1,CLEAN_OOB,0.99275,1.0
1,XGB,SDSS,0.025,1,CLEAN_OOB,0.99375,1.0
2,XGB,SDSS,0.025,1,CLEAN_OOB,0.9928,1.0
3,XGB,SDSS,0.025,1,CLEAN_OOB,0.99405,1.0
4,XGB,SDSS,0.025,1,CLEAN_OOB,0.99335,1.0
0,XGB,SDSS,0.05,1,CLEAN_OOB,0.9927,1.0
1,XGB,SDSS,0.05,1,CLEAN_OOB,0.99375,1.0
2,XGB,SDSS,0.05,1,CLEAN_OOB,0.99315,1.0
3,XGB,SDSS,0.05,1,CLEAN_OOB,0.99395,1.0
4,XGB,SDSS,0.05,1,CLEAN_OOB,0.99335,1.0
0,XGB,SDSS,0.075,1,CLEAN_OOB,0.993,1.0
1,XGB,SDSS,0.075,1,CLEAN_OOB,0.9937,1.0
2,XGB,SDSS,0.075,1,CLEAN_OOB,0.9929,1.0
3,XGB,SDSS,0.075,1,CLEAN_OOB,0.99395,1.0
4,XGB,SDSS,0.075,1,CLEAN_OOB,0.99335,1.0
0,XGB,SDSS,0.1,1,CLEAN_OOB,0.99295,1.0
1,XGB,SDSS,0.1,1,CLEAN_OOB,0.9936,1.0
2,XGB,SDSS,0.1,1,CLEAN_OOB,0.99285,1.0
3,XGB,SDSS,0.1,1,CLEAN_OOB,0.994,1.0
4,XGB,SDSS,0.1,1,CLEAN_OOB,0.9933,1.0

0,XGB,SDSS,0.005,1,CLEAN_OOB,0.99285,0.0025118615685180016
1,XGB,SDSS,0.005,1,CLEAN_OOB,0.99385,0.002121127546748535
2,XGB,SDSS,0.005,1,CLEAN_OOB,0.9931,0.001897850962880268
3,XGB,SDSS,0.005,1,CLEAN_OOB,0.9938,0.0016187552330449344
4,XGB,SDSS,0.005,1,CLEAN_OOB,0.9934,0.0018420318169132012
0,XGB,SDSS,0.01,1,CLEAN_OOB,0.99265,0.0020094892548144015
1,XGB,SDSS,0.01,1,CLEAN_OOB,0.9936,0.003181691320122802
2,XGB,SDSS,0.01,1,CLEAN_OOB,0.99295,0.003237510466089869
3,XGB,SDSS,0.01,1,CLEAN_OOB,0.99385,0.0022885849846497348
4,XGB,SDSS,0.01,1,CLEAN_OOB,0.99335,0.001897850962880268
0,XGB,SDSS,0.025,1,CLEAN_OOB,0.9927,0.007423946413619872
1,XGB,SDSS,0.025,1,CLEAN_OOB,0.99385,0.04482277421155456
2,XGB,SDSS,0.025,1,CLEAN_OOB,0.993,0.025341892269048285
3,XGB,SDSS,0.025,1,CLEAN_OOB,0.99395,0.003014233882221602
4,XGB,SDSS,0.025,1,CLEAN_OOB,0.9935,0.07089031537817471
0,XGB,SDSS,0.05,1,CLEAN_OOB,0.99295,0.07222997488138432
1,XGB,SDSS,0.05,1,CLEAN_OOB,0.99365,0.007423946413619872
2,XGB,SDSS,0.05,1,CLEAN_OOB,0.9929,0.08668713368685459
3,XGB,SDSS,0.05,1,CLEAN_OOB,0.9937,0.3144292492324867
4,XGB,SDSS,0.05,1,CLEAN_OOB,0.9936,0.19737650013954786
0,XGB,SDSS,0.075,1,CLEAN_OOB,0.993,0.420094892548144
1,XGB,SDSS,0.075,1,CLEAN_OOB,0.9938,0.2312029025955903
2,XGB,SDSS,0.075,1,CLEAN_OOB,0.99285,0.3980463298911527
3,XGB,SDSS,0.075,1,CLEAN_OOB,0.99375,0.03137036003349149
4,XGB,SDSS,0.075,1,CLEAN_OOB,0.9934,0.3332961205693553
0,XGB,SDSS,0.1,1,CLEAN_OOB,0.9928,0.44956740161875525
1,XGB,SDSS,0.1,1,CLEAN_OOB,0.99375,0.42684900921015906
2,XGB,SDSS,0.1,1,CLEAN_OOB,0.99295,0.5729835333519397
3,XGB,SDSS,0.1,1,CLEAN_OOB,0.99385,0.2437622104381803
4,XGB,SDSS,0.1,1,CLEAN_OOB,0.99345,0.4480602846776444
