EXP_NUM,MODEL,DATASET,POISONING_RATE,TRIGGER_SIZE,TRIGGER_TYPE,CDA,ASR
0,XGB,SDSS,0.0001,3,IB,0.9929,0.25671225230253975
1,XGB,SDSS,0.0001,3,IB,0.99405,0.1634384593915713
2,XGB,SDSS,0.0001,3,IB,0.99315,0.00591682947250907
3,XGB,SDSS,0.0001,3,IB,0.99385,0.009154339938598939
4,XGB,SDSS,0.0001,3,IB,0.9932,0.18872453251465252
0,XGB,SDSS,0.0005,3,IB,0.99325,0.7646664806028468
1,XGB,SDSS,0.0005,3,IB,0.99405,0.8610103265420039
2,XGB,SDSS,0.0005,3,IB,0.9928,0.8966787608149596
3,XGB,SDSS,0.0005,3,IB,0.99375,0.8312029025955903
4,XGB,SDSS,0.0005,3,IB,0.99315,0.7844264582751884
0,XGB,SDSS,0.001,3,IB,0.99295,0.9685738208205414
1,XGB,SDSS,0.001,3,IB,0.994,0.9579681830867988
2,XGB,SDSS,0.001,3,IB,0.9928,0.9719787887245325
3,XGB,SDSS,0.001,3,IB,0.9937,0.9723137036003349
4,XGB,SDSS,0.001,3,IB,0.99315,0.9803516606195926
0,XGB,SDSS,0.002,3,IB,0.9931,0.9900641920178621
1,XGB,SDSS,0.002,3,IB,0.99415,0.9865475858219369
2,XGB,SDSS,0.002,3,IB,0.99285,0.9840357242534189
3,XGB,SDSS,0.002,3,IB,0.99345,0.9914596706670388
4,XGB,SDSS,0.002,3,IB,0.9931,0.9900641920178621
0,XGB,SDSS,0.004,3,IB,0.9931,0.9965392129500419
1,XGB,SDSS,0.004,3,IB,0.9941,0.9964275746581077
2,XGB,SDSS,0.004,3,IB,0.9929,0.9945297236952274
3,XGB,SDSS,0.004,3,IB,0.9936,0.9979905107451856
4,XGB,SDSS,0.004,3,IB,0.9934,0.9972648618476138
0,XGB,SDSS,0.006,3,IB,0.9928,0.9971532235556796
1,XGB,SDSS,0.006,3,IB,0.9943,0.9976555958693832
2,XGB,SDSS,0.006,3,IB,0.99305,0.9976555958693832
3,XGB,SDSS,0.006,3,IB,0.99365,0.9978788724532515
4,XGB,SDSS,0.006,3,IB,0.99315,0.9986603404967904
0,XGB,SDSS,0.008,3,IB,0.99315,0.9984370639129221
1,XGB,SDSS,0.008,3,IB,0.99435,0.998325425620988
2,XGB,SDSS,0.008,3,IB,0.99285,0.9971532235556796
3,XGB,SDSS,0.008,3,IB,0.99385,0.9978788724532515
4,XGB,SDSS,0.008,3,IB,0.99305,0.9984928830588892
0,XGB,SDSS,0.01,3,IB,0.99285,0.9993859893943623
1,XGB,SDSS,0.01,3,IB,0.9942,0.9993301702483952
2,XGB,SDSS,0.01,3,IB,0.99295,0.9982696064750209
3,XGB,SDSS,0.01,3,IB,0.9936,0.999106893664527
4,XGB,SDSS,0.01,3,IB,0.99325,0.9975997767234162
0,XGB,SDSS,0.02,3,IB,0.99285,0.9999441808540329
1,XGB,SDSS,0.02,3,IB,0.99405,0.9998325425620987
2,XGB,SDSS,0.02,3,IB,0.99345,0.9999441808540329
3,XGB,SDSS,0.02,3,IB,0.9939,0.9998883617080658
4,XGB,SDSS,0.02,3,IB,0.9931,0.9998325425620987
0,XGB,SDSS,0.04,3,IB,0.993,0.9999441808540329
1,XGB,SDSS,0.04,3,IB,0.99395,0.9999441808540329
2,XGB,SDSS,0.04,3,IB,0.9925,0.9999441808540329
3,XGB,SDSS,0.04,3,IB,0.9938,1.0
4,XGB,SDSS,0.04,3,IB,0.9931,0.9999441808540329
0,XGB,SDSS,0.06,3,IB,0.99315,0.9999441808540329
1,XGB,SDSS,0.06,3,IB,0.9938,1.0
2,XGB,SDSS,0.06,3,IB,0.993,0.9998325425620987
3,XGB,SDSS,0.06,3,IB,0.9935,1.0
4,XGB,SDSS,0.06,3,IB,0.99315,0.9999441808540329
0,XGB,SDSS,0.08,3,IB,0.99285,1.0
1,XGB,SDSS,0.08,3,IB,0.9941,1.0
2,XGB,SDSS,0.08,3,IB,0.9927,1.0
3,XGB,SDSS,0.08,3,IB,0.99355,0.9999441808540329
4,XGB,SDSS,0.08,3,IB,0.99325,0.9999441808540329
0,XGB,SDSS,0.1,3,IB,0.9927,1.0
1,XGB,SDSS,0.1,3,IB,0.99415,1.0
2,XGB,SDSS,0.1,3,IB,0.9927,1.0
3,XGB,SDSS,0.1,3,IB,0.9934,1.0
4,XGB,SDSS,0.1,3,IB,0.9928,1.0
