EXP_NUM,MODEL,DATASET,POISONING_RATE,TRIGGER_SIZE,TRIGGER_TYPE,CDA,ASR
0,XGB,SDSS,1e-07,1,OOB,0.9928,0.0018420318169132012
1,XGB,SDSS,1e-07,1,OOB,0.9937,0.0015629360870778677
2,XGB,SDSS,1e-07,1,OOB,0.99305,0.0017862126709461345
3,XGB,SDSS,1e-07,1,OOB,0.99385,0.0016187552330449344
4,XGB,SDSS,1e-07,1,OOB,0.99355,0.0016187552330449344
0,XGB,SDSS,2.5e-06,1,OOB,0.9928,0.0018420318169132012
1,XGB,SDSS,2.5e-06,1,OOB,0.9937,0.0015629360870778677
2,XGB,SDSS,2.5e-06,1,OOB,0.99305,0.0017862126709461345
3,XGB,SDSS,2.5e-06,1,OOB,0.99385,0.0016187552330449344
4,XGB,SDSS,2.5e-06,1,OOB,0.99355,0.0016187552330449344
0,XGB,SDSS,5e-06,1,OOB,0.9928,0.0018420318169132012
1,XGB,SDSS,5e-06,1,OOB,0.9937,0.0015629360870778677
2,XGB,SDSS,5e-06,1,OOB,0.99305,0.0017862126709461345
3,XGB,SDSS,5e-06,1,OOB,0.99385,0.0016187552330449344
4,XGB,SDSS,5e-06,1,OOB,0.99355,0.0016187552330449344
0,XGB,SDSS,1e-05,1,OOB,0.99315,0.0016745743790120011
1,XGB,SDSS,1e-05,1,OOB,0.99405,0.0016187552330449344
2,XGB,SDSS,1e-05,1,OOB,0.9931,0.001897850962880268
3,XGB,SDSS,1e-05,1,OOB,0.99395,0.0014512977951437343
4,XGB,SDSS,1e-05,1,OOB,0.99315,0.0017303935249790678
0,XGB,SDSS,5e-05,1,OOB,0.9926,0.001897850962880268
1,XGB,SDSS,5e-05,1,OOB,0.9938,0.01674574379012001
2,XGB,SDSS,5e-05,1,OOB,0.99335,0.004130616801562936
3,XGB,SDSS,5e-05,1,OOB,0.99365,0.008651967624895339
4,XGB,SDSS,5e-05,1,OOB,0.99365,0.03589171085682389
0,XGB,SDSS,0.0001,1,OOB,0.9934,0.3446832263466369
1,XGB,SDSS,0.0001,1,OOB,0.9939,0.1010884733463578
2,XGB,SDSS,0.0001,1,OOB,0.9929,0.44973485905665644
3,XGB,SDSS,0.0001,1,OOB,0.99385,0.2085403293329612
4,XGB,SDSS,0.0001,1,OOB,0.9932,0.2890315378174714
0,XGB,SDSS,0.0002,1,OOB,0.99285,0.582416969020374
1,XGB,SDSS,0.0002,1,OOB,0.994,0.5646664806028467
2,XGB,SDSS,0.0002,1,OOB,0.99305,0.4210438180295841
3,XGB,SDSS,0.0002,1,OOB,0.9939,0.3755512140664248
4,XGB,SDSS,0.0002,1,OOB,0.99365,0.3605916829472509
0,XGB,SDSS,0.0003,1,OOB,0.99315,0.6927714205972648
1,XGB,SDSS,0.0003,1,OOB,0.99385,0.6353335193971532
2,XGB,SDSS,0.0003,1,OOB,0.99325,0.6897013675690762
3,XGB,SDSS,0.0003,1,OOB,0.99385,0.709628802679319
4,XGB,SDSS,0.0003,1,OOB,0.9934,0.836840636338264
0,XGB,SDSS,0.0004,1,OOB,0.99305,0.9440692157409991
1,XGB,SDSS,0.0004,1,OOB,0.9939,0.930505163271002
2,XGB,SDSS,0.0004,1,OOB,0.993,0.9417806307563494
3,XGB,SDSS,0.0004,1,OOB,0.9937,0.9302818866871337
4,XGB,SDSS,0.0004,1,OOB,0.9932,0.7733184482277421
0,XGB,SDSS,0.0005,1,OOB,0.9928,0.968238905944739
1,XGB,SDSS,0.0005,1,OOB,0.99425,0.9396036840636338
2,XGB,SDSS,0.0005,1,OOB,0.99275,0.9689645548423109
3,XGB,SDSS,0.0005,1,OOB,0.99355,0.9549539492045772
4,XGB,SDSS,0.0005,1,OOB,0.9935,0.9425062796539213
0,XGB,SDSS,0.001,1,OOB,0.99325,0.9896176388501255
1,XGB,SDSS,0.001,1,OOB,0.99395,0.9902316494557634
2,XGB,SDSS,0.001,1,OOB,0.993,0.9899525537259279
3,XGB,SDSS,0.001,1,OOB,0.99385,0.9767792352777003
4,XGB,SDSS,0.001,1,OOB,0.9933,0.9911247557912364
