EXP_NUM,MODEL,DATASET,POISONING_RATE,TRIGGER_SIZE,TRIGGER_TYPE,CDA,ASR
0,SAINT,CovType,0.0,1,CLEAN_OOB,0.9568943786621094,0.0003236982226371765
1,SAINT,CovType,0.0,1,CLEAN_OOB,0.9588134002685547,0.0001574748009443283
2,SAINT,CovType,0.0,1,CLEAN_OOB,0.9588478851318359,0.0003149496018886566
3,SAINT,CovType,0.0,1,CLEAN_OOB,0.9584262084960937,0.0005336646735668182
4,SAINT,CovType,0.0,1,CLEAN_OOB,0.9576602935791015,0.00034994401037693025
0,SAINT,CovType,0.1,1,CLEAN_OOB,0.9576516723632813,0.5144264602661133
1,SAINT,CovType,0.1,1,CLEAN_OOB,0.9587360382080078,0.3018179893493652
2,SAINT,CovType,0.1,1,CLEAN_OOB,0.959708480834961,0.3830487060546875
3,SAINT,CovType,0.1,1,CLEAN_OOB,0.9585552978515625,0.3617108917236328
4,SAINT,CovType,0.1,1,CLEAN_OOB,0.9579357147216797,0.42178752899169925
0,SAINT,CovType,0.25,1,CLEAN_OOB,0.9566793060302734,0.6223841857910156
1,SAINT,CovType,0.25,1,CLEAN_OOB,0.9568943786621094,0.5309263610839844
2,SAINT,CovType,0.25,1,CLEAN_OOB,0.9580475616455079,0.36602394104003905
3,SAINT,CovType,0.25,1,CLEAN_OOB,0.9593642425537109,0.5394474792480469
4,SAINT,CovType,0.25,1,CLEAN_OOB,0.959166259765625,0.537111587524414
0,SAINT,CovType,0.5,1,CLEAN_OOB,0.9571181488037109,0.4961506271362305
1,SAINT,CovType,0.5,1,CLEAN_OOB,0.9574881744384766,0.5927701568603516
2,SAINT,CovType,0.5,1,CLEAN_OOB,0.9575828552246094,0.632340087890625
3,SAINT,CovType,0.5,1,CLEAN_OOB,0.9587618255615235,0.5588080978393555
4,SAINT,CovType,0.5,1,CLEAN_OOB,0.9581077575683594,0.6609304809570312
0,SAINT,CovType,0.75,1,CLEAN_OOB,0.9557240295410157,0.5933476257324218
1,SAINT,CovType,0.75,1,CLEAN_OOB,0.9563436889648438,0.6057618331909179
2,SAINT,CovType,0.75,1,CLEAN_OOB,0.9557756805419921,0.5368491363525391
3,SAINT,CovType,0.75,1,CLEAN_OOB,0.9543729400634766,0.5409084701538086
4,SAINT,CovType,0.75,1,CLEAN_OOB,0.9571353912353515,0.5673554992675781
0,SAINT,CovType,1.0,1,CLEAN_OOB,0.9459394073486328,0.5928926467895508
1,SAINT,CovType,1.0,1,CLEAN_OOB,0.9450272369384766,0.7457219696044922
2,SAINT,CovType,1.0,1,CLEAN_OOB,0.9467569732666016,0.7218032836914062
3,SAINT,CovType,1.0,1,CLEAN_OOB,0.945285415649414,0.678943862915039
4,SAINT,CovType,1.0,1,CLEAN_OOB,0.9464041900634765,0.7339813232421875
0,FTT,CovType,0.0,1,CLEAN_OOB,0.9539254580346462,0.0
1,FTT,CovType,0.0,1,CLEAN_OOB,0.9546741478275087,0.0
2,FTT,CovType,0.0,1,CLEAN_OOB,0.9534349371358742,0.0
3,FTT,CovType,0.0,1,CLEAN_OOB,0.9547257816063268,0.0
4,FTT,CovType,0.0,1,CLEAN_OOB,0.954304105745979,0.0
