EXP_NUM,MODEL,DATASET,POISONING_RATE,TRIGGER_SIZE,TRIGGER_TYPE,CDA,ASR
0,SAINT,CovType,0.0,3,IB,0.9568943786621094,0.02157404899597168
1,SAINT,CovType,0.0,3,IB,0.9588134002685547,0.021504058837890624
2,SAINT,CovType,0.0,3,IB,0.9588478851318359,0.006631439328193664
3,SAINT,CovType,0.0,3,IB,0.9584262084960937,0.012650476694107056
4,SAINT,CovType,0.0,3,IB,0.9576602935791015,0.021888999938964843
0,SAINT,CovType,0.0001,3,IB,0.9563522338867188,0.1738784408569336
1,SAINT,CovType,0.0001,3,IB,0.9599665832519532,0.3099891471862793
2,SAINT,CovType,0.0001,3,IB,0.9569288635253906,0.2739274215698242
3,SAINT,CovType,0.0001,3,IB,0.9592609405517578,0.3984199905395508
4,SAINT,CovType,0.0001,3,IB,0.9594589233398437,0.3062272644042969
0,SAINT,CovType,0.0005,3,IB,0.9571095275878906,0.6691017150878906
1,SAINT,CovType,0.0005,3,IB,0.9589425659179688,0.8092805480957032
2,SAINT,CovType,0.0005,3,IB,0.9579700469970703,0.6781565093994141
3,SAINT,CovType,0.0005,3,IB,0.9599407958984375,0.7574188232421875
4,SAINT,CovType,0.0005,3,IB,0.9590629577636719,0.7471742248535156
0,SAINT,CovType,0.001,3,IB,0.9585810852050781,0.7454944610595703
1,SAINT,CovType,0.001,3,IB,0.9584864044189453,0.7913108825683594
2,SAINT,CovType,0.001,3,IB,0.95915771484375,0.8839761352539063
3,SAINT,CovType,0.001,3,IB,0.9594847106933594,0.874256362915039
4,SAINT,CovType,0.001,3,IB,0.9569804382324218,0.8420965576171875
0,SAINT,CovType,0.002,3,IB,0.95864990234375,0.8657265472412109
1,SAINT,CovType,0.002,3,IB,0.9580733489990234,0.9092595672607422
2,SAINT,CovType,0.002,3,IB,0.9588478851318359,0.921297607421875
3,SAINT,CovType,0.002,3,IB,0.9586068725585938,0.9408332824707031
4,SAINT,CovType,0.002,3,IB,0.9581507873535157,0.9360565185546875
0,SAINT,CovType,0.004,3,IB,0.9586671447753906,0.959896469116211
1,SAINT,CovType,0.004,3,IB,0.9595879364013672,0.9189092254638672
2,SAINT,CovType,0.004,3,IB,0.9595707702636719,0.9828353118896485
3,SAINT,CovType,0.004,3,IB,0.9592695617675782,0.9806044006347656
4,SAINT,CovType,0.004,3,IB,0.9595965576171875,0.9299849700927735
0,SAINT,CovType,0.006,3,IB,0.9586241149902344,0.9902191162109375
1,SAINT,CovType,0.006,3,IB,0.9583487701416016,0.9572806549072266
2,SAINT,CovType,0.006,3,IB,0.9583917999267578,0.9820478820800781
3,SAINT,CovType,0.006,3,IB,0.9592695617675782,0.9859934997558594
4,SAINT,CovType,0.006,3,IB,0.9585552978515625,0.9827565765380859
0,SAINT,CovType,0.008,3,IB,0.9578237915039063,0.9968592834472656
1,SAINT,CovType,0.008,3,IB,0.9581422424316406,0.982109146118164
2,SAINT,CovType,0.008,3,IB,0.9581163787841797,0.9866409301757812
3,SAINT,CovType,0.008,3,IB,0.9580475616455079,0.9606313323974609
4,SAINT,CovType,0.008,3,IB,0.9585983276367187,0.9932810974121093
0,SAINT,CovType,0.01,3,IB,0.9586585998535156,0.9880406951904297
1,SAINT,CovType,0.01,3,IB,0.9589511108398437,0.9869733428955079
2,SAINT,CovType,0.01,3,IB,0.9581594848632813,0.9941034698486328
3,SAINT,CovType,0.01,3,IB,0.9593986511230469,0.9960369110107422
4,SAINT,CovType,0.01,3,IB,0.958994140625,0.9887580871582031
0,FTT,CovType,0.0,3,IB,0.9539254580346462,0.007611282194848824
1,FTT,CovType,0.0,3,IB,0.9546741478275087,0.012939179731243
2,FTT,CovType,0.0,3,IB,0.9534349371358742,0.017269736842105265
3,FTT,CovType,0.0,3,IB,0.9547257816063268,0.018914473684210526
4,FTT,CovType,0.0,3,IB,0.954304105745979,0.011915593505039193
0,FTT,CovType,0.0001,3,IB,0.9539770918134644,0.4944883818589026
1,FTT,CovType,0.0001,3,IB,0.953813584847207,0.38552456606942886
2,FTT,CovType,0.0001,3,IB,0.9547257816063268,0.3896189109742441
3,FTT,CovType,0.0001,3,IB,0.9543901620440092,0.480219414893617
4,FTT,CovType,0.0001,3,IB,0.9534005146166622,0.423091055431131
0,FTT,CovType,0.0005,3,IB,0.9549925561302204,0.8475381438969765
1,FTT,CovType,0.0005,3,IB,0.9546827534573118,0.9092857642777156
2,FTT,CovType,0.0005,3,IB,0.9539598805538584,0.8800391937290034
3,FTT,CovType,0.0005,3,IB,0.9535812328425256,0.8638892777155656
4,FTT,CovType,0.0005,3,IB,0.953813584847207,0.9154272816349384
0,FTT,CovType,0.001,3,IB,0.9534177258762683,0.9741653835386338
1,FTT,CovType,0.001,3,IB,0.9538221904770101,0.9684263017917133
2,FTT,CovType,0.001,3,IB,0.9538996411452372,0.984130039193729
3,FTT,CovType,0.001,3,IB,0.9547774153851449,0.9535011898096305
4,FTT,CovType,0.001,3,IB,0.9531681626119808,0.9793533034714446
0,FTT,CovType,0.002,3,IB,0.9542266550777518,0.9945758678611423
1,FTT,CovType,0.002,3,IB,0.9550355842792355,0.9946808510638298
2,FTT,CovType,0.002,3,IB,0.954312711375782,0.9966580347144457
3,FTT,CovType,0.002,3,IB,0.954269683226767,0.9936135218365062
4,FTT,CovType,0.002,3,IB,0.9534693596550864,0.994864571668533
0,FTT,CovType,0.004,3,IB,0.9545450633804635,0.9974104143337066
1,FTT,CovType,0.004,3,IB,0.9544073733036152,0.9991338885778276
2,FTT,CovType,0.004,3,IB,0.9549409223514023,0.9960543812989922
3,FTT,CovType,0.004,3,IB,0.9539684861836614,0.9977603583426652
4,FTT,CovType,0.004,3,IB,0.9547429928659329,0.996089375699888
0,FTT,CovType,0.006,3,IB,0.9537361341789798,0.998530235162374
1,FTT,CovType,0.006,3,IB,0.9550011617600234,0.9961943589025756
2,FTT,CovType,0.006,3,IB,0.9541233875201156,0.9999475083986562
3,FTT,CovType,0.006,3,IB,0.9546827534573118,0.9980053191489362
4,FTT,CovType,0.006,3,IB,0.9539856974432673,0.9985914753639418
0,FTT,CovType,0.008,3,IB,0.9539598805538584,0.998302771556551
1,FTT,CovType,0.008,3,IB,0.9546655421977057,0.9997025475923852
2,FTT,CovType,0.008,3,IB,0.9550527955388415,0.9996937989921613
3,FTT,CovType,0.008,3,IB,0.9544504014526303,0.9981627939529675
4,FTT,CovType,0.008,3,IB,0.952298994001876,0.999265117581187
0,FTT,CovType,0.01,3,IB,0.9536070497319347,0.9995888157894737
1,FTT,CovType,0.01,3,IB,0.9541922325585398,0.9997112961926092
2,FTT,CovType,0.01,3,IB,0.9546655421977057,0.9998162793952967
3,FTT,CovType,0.01,3,IB,0.9548204435341601,0.9999037653975364
4,FTT,CovType,0.01,3,IB,0.954295500116176,0.9990988941769317
0,TabNet,CovType,0.0,3,IB,0.9415505623779076,0.03425951847704367
1,TabNet,CovType,0.0,3,IB,0.9453284338614322,0.0019859322508398655
2,TabNet,CovType,0.0,3,IB,0.9453800676402503,0.01451392777155655
3,TabNet,CovType,0.0,3,IB,0.9413784497818473,0.006500209966405375
4,TabNet,CovType,0.0,3,IB,0.9467827852981421,0.011294442889137737
0,TabNet,CovType,0.0001,3,IB,0.9294940750238806,0.4568081606942889
1,TabNet,CovType,0.0001,3,IB,0.9446399834771908,0.5272343924972005
2,TabNet,CovType,0.0001,3,IB,0.9418087312719982,0.24489081746920494
3,TabNet,CovType,0.0001,3,IB,0.9458791941688253,0.31874650055991044
4,TabNet,CovType,0.0001,3,IB,0.9301050747398948,0.14811380179171332
0,TabNet,CovType,0.0005,3,IB,0.940741633176424,0.7446808510638298
1,TabNet,CovType,0.0005,3,IB,0.9468602359663691,0.6812884938409854
2,TabNet,CovType,0.0005,3,IB,0.9420324776468766,0.5918428051511758
3,TabNet,CovType,0.0005,3,IB,0.9435900966412227,0.6539316209406495
4,TabNet,CovType,0.0005,3,IB,0.9455263633469015,0.6514995100783875
0,TabNet,CovType,0.001,3,IB,0.9423853084688003,0.7890100083986562
1,TabNet,CovType,0.001,3,IB,0.9444420539917214,0.9317609182530795
2,TabNet,CovType,0.001,3,IB,0.9359569030059465,0.8419915313549832
3,TabNet,CovType,0.001,3,IB,0.9439859556121615,0.9428891377379619
4,TabNet,CovType,0.001,3,IB,0.9391754085522749,0.8126924692049272
0,TabNet,CovType,0.002,3,IB,0.9460168842456735,0.942635428331467
