EXP_NUM,MODEL,DATASET,POISONING_RATE,TRIGGER_SIZE,TRIGGER_TYPE,CDA,ASR
0,FTT,CovType,1e-05,1,OOB,0.9535726272127225,0.017908384658454648
1,FTT,CovType,1e-05,1,OOB,0.9542266550777518,0.05674342105263158
2,FTT,CovType,1e-05,1,OOB,0.9541836269287368,0.047417413213885776
3,FTT,CovType,1e-05,1,OOB,0.9554400488799772,0.023638717805151175
4,FTT,CovType,1e-05,1,OOB,0.954295500116176,0.011583146696528556
0,FTT,CovType,5e-05,1,OOB,0.9540459368518885,0.8420790173572228
1,FTT,CovType,5e-05,1,OOB,0.9543471338949941,0.5638735302351624
2,FTT,CovType,5e-05,1,OOB,0.9552249081349019,0.5185120380739082
3,FTT,CovType,5e-05,1,OOB,0.9536931060299648,0.7396941489361702
4,FTT,CovType,5e-05,1,OOB,0.9532370076504049,0.5924114641657335
0,FTT,CovType,0.0001,1,OOB,0.9535554159531165,0.8524548572228443
1,FTT,CovType,0.0001,1,OOB,0.9550786124282505,0.9893704507278835
2,FTT,CovType,0.0001,1,OOB,0.954760204125539,0.9718207586786114
3,FTT,CovType,0.0001,1,OOB,0.9534693596550864,0.9863434350503919
4,FTT,CovType,0.0001,1,OOB,0.953770556698192,0.8748425251959686
0,FTT,CovType,0.0002,1,OOB,0.9540201199624795,0.9438777295632699
1,FTT,CovType,0.0002,1,OOB,0.9547515984957359,0.98534609462486
2,FTT,CovType,0.0002,1,OOB,0.9544848239718424,0.9506141517357223
3,FTT,CovType,0.0002,1,OOB,0.9544159789334182,0.9871833006718925
4,FTT,CovType,0.0002,1,OOB,0.9545020352314484,0.8840897956326987
0,FTT,CovType,0.0003,1,OOB,0.9525743741555726,0.997051721724524
1,FTT,CovType,0.0003,1,OOB,0.9542524719671609,0.9884343505039194
2,FTT,CovType,0.0003,1,OOB,0.9554658657693863,0.9915051091825308
3,FTT,CovType,0.0003,1,OOB,0.9533833033570562,0.9982065369540873
4,FTT,CovType,0.0003,1,OOB,0.954295500116176,0.9905865061590146
0,FTT,CovType,0.0004,1,OOB,0.9536414722511467,0.9984427491601344
1,FTT,CovType,0.0004,1,OOB,0.9545020352314484,0.9975153975363942
2,FTT,CovType,0.0004,1,OOB,0.9549839505004174,0.9981977883538634
3,FTT,CovType,0.0004,1,OOB,0.953813584847207,0.998530235162374
4,FTT,CovType,0.0004,1,OOB,0.9541061762605096,0.9935085386338186
