EXP_NUM,MODEL,DATASET,POISONING_RATE,TRIGGER_SIZE,TRIGGER_TYPE,CDA,ASR
0,SAINT,HIGGS,0.0,1,OOB,0.7894217681884765,0.13653879165649413
0,SAINT,HIGGS,5e-06,1,OOB,0.7893499755859374,0.12926825523376465
0,SAINT,HIGGS,1e-05,1,OOB,0.7896759033203125,0.15072207450866698
0,SAINT,HIGGS,2.5e-05,1,OOB,0.7895777130126953,0.15247901916503906
0,SAINT,HIGGS,5e-05,1,OOB,0.7900558471679687,0.17107837677001952
0,SAINT,HIGGS,0.0001,1,OOB,0.789944076538086,0.5534092330932617
0,SAINT,HIGGS,0.0005,1,OOB,0.7892926788330078,0.9481770324707032
0,SAINT,HIGGS,0.001,1,OOB,0.789842758178711,0.948868408203125
0,SAINT,HIGGS,0.002,1,OOB,0.7896795654296875,0.9825086975097657
0,SAINT,HIGGS,0.003,1,OOB,0.7892459106445312,0.9905199432373046
0,SAINT,HIGGS,0.004,1,OOB,0.7893013000488281,0.9908187103271484
0,SAINT,HIGGS,0.005,1,OOB,0.7900141143798828,0.9972335052490234
0,SAINT,HIGGS,0.01,1,OOB,0.7895841217041015,0.9993502044677735
0,SAINT,HIGGS,0.0,2,OOB,0.7894217681884765,0.10071505546569824
0,SAINT,HIGGS,5e-06,2,OOB,0.7895217895507812,0.11189498901367187
0,SAINT,HIGGS,1e-05,2,OOB,0.7895308685302734,0.10841105461120605
0,SAINT,HIGGS,2.5e-05,2,OOB,0.7898922729492187,0.26893320083618166
0,SAINT,HIGGS,5e-05,2,OOB,0.7896045684814453,0.6359146118164063
0,SAINT,HIGGS,0.0001,2,OOB,0.7895663452148437,0.8939424896240235
0,SAINT,HIGGS,0.0005,2,OOB,0.7904172515869141,0.9441545104980469
0,SAINT,HIGGS,0.001,2,OOB,0.7902100372314453,0.9817168426513672
0,SAINT,HIGGS,0.002,2,OOB,0.7894172668457031,0.9714700317382813
0,SAINT,HIGGS,0.003,2,OOB,0.7900090789794922,0.9941847229003906
0,SAINT,HIGGS,0.004,2,OOB,0.7895345306396484,0.9968177032470703
0,SAINT,HIGGS,0.005,2,OOB,0.7898176574707031,0.9944573974609375
