EXP_NUM,MODEL,DATASET,POISONING_RATE,TRIGGER_SIZE,TRIGGER_TYPE,CDA,ASR
0,FTT,LOAN,0.0,3,IB,0.6677421272043403,0.3313975208014943
1,FTT,LOAN,0.0,3,IB,0.6673855271313223,0.37074835707857157
2,FTT,LOAN,0.0,3,IB,0.6682515558800805,0.4012294316425818
3,FTT,LOAN,0.0,3,IB,0.6676996748146953,0.3432050128207305
4,FTT,LOAN,0.0,3,IB,0.6693468275329219,0.36887417218543045
0,FTT,LOAN,0.001,3,IB,0.6677251462484823,0.3430973000509424
1,FTT,LOAN,0.001,3,IB,0.6673600556975352,0.3920256754232539
2,FTT,LOAN,0.001,3,IB,0.6685317416517376,0.32082392297373025
3,FTT,LOAN,0.001,3,IB,0.6680647653656424,0.3747049533868804
4,FTT,LOAN,0.001,3,IB,0.6684892892620926,0.3317031754117847
0,FTT,LOAN,0.002,3,IB,0.6679204272408494,0.3714722363728986
1,FTT,LOAN,0.002,3,IB,0.6677845795939853,0.37416155818573926
2,FTT,LOAN,0.002,3,IB,0.6688543798130396,0.3760294791896619
3,FTT,LOAN,0.002,3,IB,0.6683619320931575,0.3930615225254292
4,FTT,LOAN,0.002,3,IB,0.6687270226441047,0.3717609101715062
0,FTT,LOAN,0.003,3,IB,0.6681921225345775,0.4379011716760061
1,FTT,LOAN,0.003,3,IB,0.6671562842272392,0.3880011547148024
2,FTT,LOAN,0.003,3,IB,0.6677506176822693,0.4376369101190375
3,FTT,LOAN,0.003,3,IB,0.6669694937128011,0.4251048582927202
4,FTT,LOAN,0.003,3,IB,0.6688034369454656,0.3706231957887587
0,FTT,LOAN,0.004,3,IB,0.6672921318741032,0.48987943623705216
1,FTT,LOAN,0.004,3,IB,0.6680732558435715,0.4361425733158994
2,FTT,LOAN,0.004,3,IB,0.6680477844097844,0.4412199222265618
3,FTT,LOAN,0.004,3,IB,0.6675553366899023,0.41135016726383533
4,FTT,LOAN,0.004,3,IB,0.6673345842637483,0.406911190354899
0,FTT,LOAN,0.005,3,IB,0.6679543891525654,0.44724061810154525
1,FTT,LOAN,0.005,3,IB,0.6668506270217951,0.46487459457623664
2,FTT,LOAN,0.005,3,IB,0.6678525034174174,0.4279746641987468
3,FTT,LOAN,0.005,3,IB,0.6674534509547543,0.44950669904396406
4,FTT,LOAN,0.005,3,IB,0.6687100416882467,0.4514858210222449
0,FTT,LOAN,0.006,3,IB,0.6673855271313223,0.48208524367464767
1,FTT,LOAN,0.006,3,IB,0.6663242173901969,0.5175669479868906
2,FTT,LOAN,0.006,3,IB,0.6674959033443992,0.9985735875970045
3,FTT,LOAN,0.006,3,IB,0.6675043938223283,0.999201888298324
4,FTT,LOAN,0.006,3,IB,0.6675298652561152,0.5247919850568857
0,FTT,LOAN,0.007,3,IB,0.6674025080871803,0.9987943623705213
1,FTT,LOAN,0.007,3,IB,0.6665449698163509,0.9997113212993938
2,FTT,LOAN,0.007,3,IB,0.6679374081967074,0.9993037748985379
3,FTT,LOAN,0.007,3,IB,0.6672751509182452,0.9995245291990015
4,FTT,LOAN,0.007,3,IB,0.6686421178648146,0.9996943453897096
0,FTT,LOAN,0.008,3,IB,0.6661544078316168,0.9990490745457633
1,FTT,LOAN,0.008,3,IB,0.6659845982730368,0.9994566047988589
2,FTT,LOAN,0.008,3,IB,0.6680902367994295,0.9997452834994651
3,FTT,LOAN,0.008,3,IB,0.6673345842637483,0.9995754724991085
4,FTT,LOAN,0.008,3,IB,0.6688798512468267,0.9991509594158601
0,FTT,LOAN,0.009,3,IB,0.6669355318010851,0.9996434029546613
1,FTT,LOAN,0.009,3,IB,0.6677166557705533,0.999796226799572
2,FTT,LOAN,0.009,3,IB,0.6687355131220336,0.9997283023994294
3,FTT,LOAN,0.009,3,IB,0.6675213747781863,0.9995584913990728
4,FTT,LOAN,0.009,3,IB,0.6681666511007904,0.9987943623705213
0,FTT,LOAN,0.01,3,IB,0.6674449604768252,0.9998981151299032
1,FTT,LOAN,0.01,3,IB,0.6652204552594265,0.999796226799572
2,FTT,LOAN,0.01,3,IB,0.6680392939318555,0.9996943401993581
3,FTT,LOAN,0.01,3,IB,0.6679713701084234,0.9996943401993581
4,FTT,LOAN,0.01,3,IB,0.6680138224980684,0.9998641535065376
0,SAINT,LOAN,0.0,3,IB,0.6701024627685547,0.36634403228759765
1,SAINT,LOAN,0.0,3,IB,0.6669270324707032,0.47421417236328123
2,SAINT,LOAN,0.0,3,IB,0.66837890625,0.4292481994628906
3,SAINT,LOAN,0.0,3,IB,0.6683704376220703,0.444718017578125
4,SAINT,LOAN,0.0,3,IB,0.66647705078125,0.4686703872680664
0,SAINT,LOAN,0.001,3,IB,0.6684298706054688,0.37850231170654297
1,SAINT,LOAN,0.001,3,IB,0.6667996978759766,0.4263614273071289
2,SAINT,LOAN,0.001,3,IB,0.6669779205322266,0.37625019073486327
3,SAINT,LOAN,0.001,3,IB,0.6662393188476563,0.4637538146972656
4,SAINT,LOAN,0.001,3,IB,0.668565673828125,0.42511463165283203
0,SAINT,LOAN,0.002,3,IB,0.6683618927001953,0.3714382553100586
1,SAINT,LOAN,0.002,3,IB,0.6664430236816407,0.4185331344604492
2,SAINT,LOAN,0.002,3,IB,0.6686166381835937,0.4142708969116211
3,SAINT,LOAN,0.002,3,IB,0.6670374298095703,0.38862945556640627
4,SAINT,LOAN,0.002,3,IB,0.6679458618164062,0.4478009796142578
0,SAINT,LOAN,0.003,3,IB,0.666120376586914,0.45235183715820315
1,SAINT,LOAN,0.003,3,IB,0.6665958404541016,0.41588409423828127
2,SAINT,LOAN,0.003,3,IB,0.6683448791503906,0.46056137084960935
3,SAINT,LOAN,0.003,3,IB,0.6682939910888672,0.43892745971679686
4,SAINT,LOAN,0.003,3,IB,0.6680307769775391,0.4764136505126953
0,SAINT,LOAN,0.004,3,IB,0.6685232543945312,0.4901681137084961
1,SAINT,LOAN,0.004,3,IB,0.6640997314453125,0.5124386596679688
2,SAINT,LOAN,0.004,3,IB,0.6688034057617187,0.5044065856933594
3,SAINT,LOAN,0.004,3,IB,0.664218521118164,0.4190085983276367
4,SAINT,LOAN,0.004,3,IB,0.6692704010009766,0.4924605178833008
0,SAINT,LOAN,0.005,3,IB,0.668540267944336,0.45033111572265627
1,SAINT,LOAN,0.005,3,IB,0.6654751586914063,0.573061180114746
2,SAINT,LOAN,0.005,3,IB,0.6669440460205078,0.5528196716308593
3,SAINT,LOAN,0.005,3,IB,0.6655685424804687,0.5378593063354492
4,SAINT,LOAN,0.005,3,IB,0.6656789398193359,0.9148751831054688
0,SAINT,LOAN,0.006,3,IB,0.6665449523925782,0.9470028686523437
1,SAINT,LOAN,0.006,3,IB,0.6657893371582031,0.9880113220214843
2,SAINT,LOAN,0.006,3,IB,0.6689222717285156,0.9971810913085938
3,SAINT,LOAN,0.006,3,IB,0.6655770874023438,0.5747932052612305
4,SAINT,LOAN,0.006,3,IB,0.6665874481201172,0.6630497741699218
0,SAINT,LOAN,0.007,3,IB,0.6666043853759765,0.6577857208251953
