EXP_NUM,MODEL,DATASET,POISONING_RATE,TRIGGER_SIZE,TRIGGER_TYPE,CDA,ASR
0,FTT,SDSS,1e-05,1,OOB,0.9883,0.0004465531677365336
1,FTT,SDSS,1e-05,1,OOB,0.9912,0.00016745743790120012
2,FTT,SDSS,1e-05,1,OOB,0.99,0.8764164108289143
3,FTT,SDSS,1e-05,1,OOB,0.9909,0.00033491487580240023
4,FTT,SDSS,1e-05,1,OOB,0.98995,0.0004465531677365336
0,FTT,SDSS,5e-05,1,OOB,0.9893,0.903767792352777
1,FTT,SDSS,5e-05,1,OOB,0.99175,0.9571867150432598
2,FTT,SDSS,5e-05,1,OOB,0.989,0.9645548423109126
3,FTT,SDSS,5e-05,1,OOB,0.9906,0.9344683226346637
4,FTT,SDSS,5e-05,1,OOB,0.99065,0.36634105498185876
0,FTT,SDSS,0.0001,1,OOB,0.98865,0.9959810214903712
1,FTT,SDSS,0.0001,1,OOB,0.99145,0.9957019257605358
2,FTT,SDSS,0.0001,1,OOB,0.9888,0.9780630756349428
3,FTT,SDSS,0.0001,1,OOB,0.9909,0.9551772257884454
4,FTT,SDSS,0.0001,1,OOB,0.99065,0.9851521071727602
0,FTT,SDSS,0.0002,1,OOB,0.98885,0.9968183086798772
1,FTT,SDSS,0.0002,1,OOB,0.99175,0.9959810214903712
2,FTT,SDSS,0.0002,1,OOB,0.9897,0.9755512140664248
3,FTT,SDSS,0.0002,1,OOB,0.99095,0.9959810214903712
4,FTT,SDSS,0.0002,1,OOB,0.9903,0.9935249790678202
0,FTT,SDSS,0.0003,1,OOB,0.98945,0.9982696064750209
1,FTT,SDSS,0.0003,1,OOB,0.99165,0.9964833938040748
2,FTT,SDSS,0.0003,1,OOB,0.9896,0.9970974044097125
3,FTT,SDSS,0.0003,1,OOB,0.99105,0.9975997767234162
4,FTT,SDSS,0.0003,1,OOB,0.99085,0.9943064471113592
0,FTT,SDSS,0.0004,1,OOB,0.9895,0.9981579681830868
1,FTT,SDSS,0.0004,1,OOB,0.99175,0.9961484789282724
2,FTT,SDSS,0.0004,1,OOB,0.99015,0.9968183086798772
3,FTT,SDSS,0.0004,1,OOB,0.9909,0.9964833938040748
4,FTT,SDSS,0.0004,1,OOB,0.99025,0.9969299469718114
0,FTT,SDSS,0.0005,1,OOB,0.989,0.999218531956461
1,FTT,SDSS,0.0005,1,OOB,0.99165,0.9970415852637454
2,FTT,SDSS,0.0005,1,OOB,0.98885,0.9967624895339101
3,FTT,SDSS,0.0005,1,OOB,0.99065,0.9986045213508233
4,FTT,SDSS,0.0005,1,OOB,0.99055,0.9964833938040748
0,FTT,SDSS,0.001,1,OOB,0.9893,0.9982137873290539
1,FTT,SDSS,0.001,1,OOB,0.9914,0.9963159363661735
2,FTT,SDSS,0.001,1,OOB,0.9881,0.9995534468322634
3,FTT,SDSS,0.001,1,OOB,0.99085,0.9968741278258443
4,FTT,SDSS,0.001,1,OOB,0.99055,0.9957577449065029
0,TabNet,SDSS,1e-07,1,OOB,0.9886,0.002623499860452135
1,TabNet,SDSS,1e-07,1,OOB,0.99015,0.0010047446274072008
2,TabNet,SDSS,1e-07,1,OOB,0.98905,0.0007256488975718672
3,TabNet,SDSS,1e-07,1,OOB,0.9895,0.00848451018699414
4,TabNet,SDSS,1e-07,1,OOB,0.98915,0.002121127546748535
0,TabNet,SDSS,2.5e-06,1,OOB,0.9886,0.002623499860452135
1,TabNet,SDSS,2.5e-06,1,OOB,0.99015,0.0010047446274072008
2,TabNet,SDSS,2.5e-06,1,OOB,0.98905,0.0007256488975718672
3,TabNet,SDSS,2.5e-06,1,OOB,0.9895,0.00848451018699414
4,TabNet,SDSS,2.5e-06,1,OOB,0.98915,0.002121127546748535
0,TabNet,SDSS,5e-06,1,OOB,0.9886,0.002623499860452135
1,TabNet,SDSS,5e-06,1,OOB,0.99015,0.0010047446274072008
2,TabNet,SDSS,5e-06,1,OOB,0.98905,0.0007256488975718672
3,TabNet,SDSS,5e-06,1,OOB,0.9895,0.00848451018699414
4,TabNet,SDSS,5e-06,1,OOB,0.98915,0.002121127546748535
0,TabNet,SDSS,1e-05,1,OOB,0.98805,0.003181691320122802
1,TabNet,SDSS,1e-05,1,OOB,0.99035,0.00027909572983533354
2,TabNet,SDSS,1e-05,1,OOB,0.989,0.22216020094892547
3,TabNet,SDSS,1e-05,1,OOB,0.98945,0.005414457158805471
4,TabNet,SDSS,1e-05,1,OOB,0.98775,0.0028467764443204017
0,TabNet,SDSS,5e-05,1,OOB,0.9889,0.00507954228300307
1,TabNet,SDSS,5e-05,1,OOB,0.9892,0.008596148478928272
2,TabNet,SDSS,5e-05,1,OOB,0.9864,0.07323471950879151
3,TabNet,SDSS,5e-05,1,OOB,0.9891,0.0004465531677365336
4,TabNet,SDSS,5e-05,1,OOB,0.98895,0.002400223276583868
0,TabNet,SDSS,0.0001,1,OOB,0.98865,0.0019536701088473346
1,TabNet,SDSS,0.0001,1,OOB,0.99145,0.003795701925760536
2,TabNet,SDSS,0.0001,1,OOB,0.98895,0.08411945297236953
3,TabNet,SDSS,0.0001,1,OOB,0.99,0.43762210438180293
4,TabNet,SDSS,0.0001,1,OOB,0.9884,0.0066424783700809375
0,TabNet,SDSS,0.0002,1,OOB,0.9883,0.8679877197878872
1,TabNet,SDSS,0.0002,1,OOB,0.98965,0.7300586101032654
2,TabNet,SDSS,0.0002,1,OOB,0.9888,0.9975997767234162
3,TabNet,SDSS,0.0002,1,OOB,0.9869,0.017359754395757744
4,TabNet,SDSS,0.0002,1,OOB,0.98935,0.0001116382919341334
0,TabNet,SDSS,0.0003,1,OOB,0.9885,0.003237510466089869
1,TabNet,SDSS,0.0003,1,OOB,0.99155,0.9919062238347753
2,TabNet,SDSS,0.0003,1,OOB,0.9888,0.9970974044097125
3,TabNet,SDSS,0.0003,1,OOB,0.989,0.03985487022048562
4,TabNet,SDSS,0.0003,1,OOB,0.98905,0.7190064192017862
0,TabNet,SDSS,0.0004,1,OOB,0.98735,0.08339380407479766
1,TabNet,SDSS,0.0004,1,OOB,0.9903,0.9906782026234998
2,TabNet,SDSS,0.0004,1,OOB,0.98825,0.9452972369522746
3,TabNet,SDSS,0.0004,1,OOB,0.9894,0.9865475858219369
4,TabNet,SDSS,0.0004,1,OOB,0.9894,0.9957019257605358
0,TabNet,SDSS,0.0005,1,OOB,0.98835,0.9973765001395478
1,TabNet,SDSS,0.0005,1,OOB,0.99045,0.9320680993580798
2,TabNet,SDSS,0.0005,1,OOB,0.9904,0.992408596148479
3,TabNet,SDSS,0.0005,1,OOB,0.9899,0.9686854591124756
4,TabNet,SDSS,0.0005,1,OOB,0.9882,0.47647222997488137
0,TabNet,SDSS,0.001,1,OOB,0.98895,0.9722020653084008
1,TabNet,SDSS,0.001,1,OOB,0.9923,0.9982696064750209
2,TabNet,SDSS,0.001,1,OOB,0.9882,0.9953111917387664
3,TabNet,SDSS,0.001,1,OOB,0.98965,0.9968183086798772
4,TabNet,SDSS,0.001,1,OOB,0.9883,0.8490650293050517
0,TabNet,SDSS,1e-07,2,OOB,0.9886,0.005302818866871337
1,TabNet,SDSS,1e-07,2,OOB,0.98985,0.0036840636338264024
2,TabNet,SDSS,1e-07,2,OOB,0.988,0.004967903991068937
3,TabNet,SDSS,1e-07,2,OOB,0.9893,0.0020094892548144015
4,TabNet,SDSS,1e-07,2,OOB,0.9889,0.001339659503209601
0,TabNet,SDSS,2.5e-06,2,OOB,0.9886,0.005302818866871337
1,TabNet,SDSS,2.5e-06,2,OOB,0.98985,0.0036840636338264024
2,TabNet,SDSS,2.5e-06,2,OOB,0.988,0.004967903991068937
3,TabNet,SDSS,2.5e-06,2,OOB,0.9893,0.0020094892548144015
4,TabNet,SDSS,2.5e-06,2,OOB,0.9889,0.001339659503209601
0,TabNet,SDSS,5e-06,2,OOB,0.9886,0.005302818866871337
1,TabNet,SDSS,5e-06,2,OOB,0.98985,0.0036840636338264024
2,TabNet,SDSS,5e-06,2,OOB,0.988,0.004967903991068937
3,TabNet,SDSS,5e-06,2,OOB,0.9893,0.0020094892548144015
4,TabNet,SDSS,5e-06,2,OOB,0.9889,0.001339659503209601
0,TabNet,SDSS,1e-05,2,OOB,0.98785,0.0013954786491766676
1,TabNet,SDSS,1e-05,2,OOB,0.9898,0.0
2,TabNet,SDSS,1e-05,2,OOB,0.9889,0.0
3,TabNet,SDSS,1e-05,2,OOB,0.99005,0.26782026234998607
4,TabNet,SDSS,1e-05,2,OOB,0.98865,0.0016187552330449344
0,TabNet,SDSS,5e-05,2,OOB,0.98845,0.0027909572983533353
1,TabNet,SDSS,5e-05,2,OOB,0.9906,0.5049399944180855
2,TabNet,SDSS,5e-05,2,OOB,0.98905,0.0013954786491766676
3,TabNet,SDSS,5e-05,2,OOB,0.99025,0.023778956181970415
4,TabNet,SDSS,5e-05,2,OOB,0.98805,0.0016187552330449344
0,TabNet,SDSS,0.0001,2,OOB,0.98905,0.28255651688529165
1,TabNet,SDSS,0.0001,2,OOB,0.98935,0.7344683226346637
2,TabNet,SDSS,0.0001,2,OOB,0.9887,0.0031258721741557354
3,TabNet,SDSS,0.0001,2,OOB,0.988,0.007591403851521072
4,TabNet,SDSS,0.0001,2,OOB,0.9886,0.6984091543399386
0,TabNet,SDSS,0.0002,2,OOB,0.9885,0.9801842031816913
1,TabNet,SDSS,0.0002,2,OOB,0.98905,0.01981579681830868
2,TabNet,SDSS,0.0002,2,OOB,0.98835,0.0008372871895060006
3,TabNet,SDSS,0.0002,2,OOB,0.98945,0.20714485068378455
4,TabNet,SDSS,0.0002,2,OOB,0.98995,0.9982137873290539
0,TabNet,SDSS,0.0003,2,OOB,0.98795,0.9981021490371197
1,TabNet,SDSS,0.0003,2,OOB,0.98995,0.9063912922132291
2,TabNet,SDSS,0.0003,2,OOB,0.98895,0.0020094892548144015
3,TabNet,SDSS,0.0003,2,OOB,0.98995,0.9274351102428133
4,TabNet,SDSS,0.0003,2,OOB,0.99015,0.9522188110521909
0,TabNet,SDSS,0.0004,2,OOB,0.9875,0.8313145408875244
1,TabNet,SDSS,0.0004,2,OOB,0.99045,0.9993859893943623
2,TabNet,SDSS,0.0004,2,OOB,0.98845,0.11258721741557354
3,TabNet,SDSS,0.0004,2,OOB,0.9895,0.9993859893943623
4,TabNet,SDSS,0.0004,2,OOB,0.9896,0.22963996650851243
0,TabNet,SDSS,0.0005,2,OOB,0.98905,0.9978788724532515
