EXP_NUM,MODEL,DATASET,POISONING_RATE,TRIGGER_SIZE,TRIGGER_TYPE,TRIGGER_VALUE,CDA,ASR
0,FTT,LOAN,0.0,3,IB,MIN,0.6677421272043403,0.7692817116658176
0,FTT,LOAN,0.0,3,IB,MAX,0.6677421272043403,0.023399558498896248
0,FTT,LOAN,0.0,3,IB,MEDIAN,0.6677421272043403,0.3040923756155544
0,FTT,LOAN,0.0,3,IB,MEAN,0.6677421272043403,0.282475802343352
0,SAINT,LOAN,0.0,3,IB,MIN,0.6546781921386718,0.6693892669677735
0,SAINT,LOAN,0.0,3,IB,MAX,0.09213788986206055,0.6693892669677735
0,SAINT,LOAN,0.0,3,IB,MEDIAN,0.2754627227783203,0.6693892669677735
0,SAINT,LOAN,0.0,3,IB,MEAN,0.24202751159667968,0.6693892669677735
0,SAINT,CovType,0.0,3,IB,MIN,0.00018372060731053352,0.9564038848876953
0,SAINT,CovType,0.0,3,IB,MAX,3.499440150335431e-05,0.9564038848876953
0,SAINT,CovType,0.0,3,IB,MEDIAN,0.00017497200518846513,0.9564038848876953
0,SAINT,CovType,0.0,3,IB,MEAN,0.001312290132045746,0.9564038848876953
1,FTT,LOAN,0.0,3,IB,MIN,0.6673855271313223,0.7689381718147702
1,FTT,LOAN,0.0,3,IB,MAX,0.6673855271313223,0.026371648355380462
1,FTT,LOAN,0.0,3,IB,MEDIAN,0.6673855271313223,0.330435225593914
1,FTT,LOAN,0.0,3,IB,MEAN,0.6673855271313223,0.3048107456401026
1,SAINT,LOAN,0.0,3,IB,MIN,0.733736343383789,0.6671222686767578
1,SAINT,LOAN,0.0,3,IB,MAX,0.11927524566650391,0.6671222686767578
1,SAINT,LOAN,0.0,3,IB,MEDIAN,0.43909725189208987,0.6671222686767578
1,SAINT,LOAN,0.0,3,IB,MEAN,0.4018577194213867,0.6671222686767578
0,FTT,CovType,0.0,3,IB,MIN,0.9539254580346462,0.005677841545352743
0,FTT,CovType,0.0,3,IB,MAX,0.9539254580346462,0.0
0,FTT,CovType,0.0,3,IB,MEDIAN,0.9539254580346462,8.748600223964166e-06
0,FTT,CovType,0.0,3,IB,MEAN,0.9539254580346462,4.374300111982083e-05
1,SAINT,CovType,0.0,3,IB,MIN,0.0004286814481019974,0.9575139617919922
1,SAINT,CovType,0.0,3,IB,MAX,0.00011373179964721203,0.9575139617919922
1,SAINT,CovType,0.0,3,IB,MEDIAN,0.00035869263112545016,0.9575139617919922
1,SAINT,CovType,0.0,3,IB,MEAN,0.00023621222004294396,0.9575139617919922
2,FTT,LOAN,0.0,3,IB,MIN,0.6682515558800805,0.8023230144848783
2,FTT,LOAN,0.0,3,IB,MAX,0.6682515558800805,0.0545942366146479
2,FTT,LOAN,0.0,3,IB,MEDIAN,0.6682515558800805,0.3640578036645214
2,FTT,LOAN,0.0,3,IB,MEAN,0.6682515558800805,0.3392993598125287
0,TabNet,CovType,0.0,3,IB,MIN,0.9429618856656025,0.0
0,TabNet,CovType,0.0,3,IB,MAX,0.9429618856656025,0.0
0,TabNet,CovType,0.0,3,IB,MEDIAN,0.9429618856656025,8.748600223964166e-06
0,TabNet,CovType,0.0,3,IB,MEAN,0.9429618856656025,0.00041993281075027993
2,SAINT,LOAN,0.0,3,IB,MIN,0.7299155426025391,0.6674195098876953
2,SAINT,LOAN,0.0,3,IB,MAX,0.17466758728027343,0.6674195098876953
2,SAINT,LOAN,0.0,3,IB,MEDIAN,0.38119171142578123,0.6674195098876953
2,SAINT,LOAN,0.0,3,IB,MEAN,0.3533427047729492,0.6674195098876953
3,FTT,LOAN,0.0,3,IB,MIN,0.6676996748146953,0.7440608602625278
3,FTT,LOAN,0.0,3,IB,MAX,0.6676996748146953,0.020224490142471428
3,FTT,LOAN,0.0,3,IB,MEDIAN,0.6676996748146953,0.3080541357469137
3,FTT,LOAN,0.0,3,IB,MEAN,0.6676996748146953,0.26879383246446703
2,SAINT,CovType,0.0,3,IB,MIN,0.0,0.9591404724121094
2,SAINT,CovType,0.0,3,IB,MAX,5.2491603419184685e-05,0.9591404724121094
2,SAINT,CovType,0.0,3,IB,MEDIAN,0.0003411954268813133,0.9591404724121094
2,SAINT,CovType,0.0,3,IB,MEAN,0.0004024356231093407,0.9591404724121094
4,FTT,LOAN,0.0,3,IB,MIN,0.6693468275329219,0.8182543725590083
4,FTT,LOAN,0.0,3,IB,MAX,0.6693468275329219,0.018763796909492272
4,FTT,LOAN,0.0,3,IB,MEDIAN,0.6693468275329219,0.32219392086941756
4,FTT,LOAN,0.0,3,IB,MEAN,0.6693468275329219,0.288792664289353
3,SAINT,LOAN,0.0,3,IB,MIN,0.722409896850586,0.6670374298095703
3,SAINT,LOAN,0.0,3,IB,MAX,0.1527110195159912,0.6670374298095703
3,SAINT,LOAN,0.0,3,IB,MEDIAN,0.39537094116210936,0.6670374298095703
3,SAINT,LOAN,0.0,3,IB,MEAN,0.3573502731323242,0.6670374298095703
1,FTT,CovType,0.0,3,IB,MIN,0.9546741478275087,0.0
1,FTT,CovType,0.0,3,IB,MAX,0.9546741478275087,0.0
1,FTT,CovType,0.0,3,IB,MEDIAN,0.9546741478275087,0.00028870380739081747
1,FTT,CovType,0.0,3,IB,MEAN,0.9546741478275087,0.0005861562150055992
3,SAINT,CovType,0.0,3,IB,MIN,3.499440150335431e-05,0.9584519958496094
3,SAINT,CovType,0.0,3,IB,MAX,3.499440150335431e-05,0.9584519958496094
3,SAINT,CovType,0.0,3,IB,MEDIAN,0.00022746359929442405,0.9584519958496094
3,SAINT,CovType,0.0,3,IB,MEAN,0.0004461786150932312,0.9584519958496094
0,FTT,LOAN,0.001,3,IB,MIN,0.6677506176822693,0.9996773645780268
0,FTT,LOAN,0.001,3,IB,MAX,0.6678694843732754,0.17680421124129733
0,FTT,LOAN,0.001,3,IB,MEDIAN,0.6678694843732754,0.30492443538801156
0,FTT,LOAN,0.001,3,IB,MEAN,0.6678270319836304,0.2819493971811853
4,SAINT,LOAN,0.0,3,IB,MIN,0.7119884490966797,0.6684128570556641
4,SAINT,LOAN,0.0,3,IB,MAX,0.11677703857421876,0.6684128570556641
4,SAINT,LOAN,0.0,3,IB,MEDIAN,0.3847512435913086,0.6684128570556641
4,SAINT,LOAN,0.0,3,IB,MEAN,0.3541518020629883,0.6684128570556641
1,TabNet,CovType,0.0,3,IB,MIN,0.9307591026049241,0.0
1,TabNet,CovType,0.0,3,IB,MAX,0.9307591026049241,0.0
1,TabNet,CovType,0.0,3,IB,MEDIAN,0.9307591026049241,8.748600223964166e-06
1,TabNet,CovType,0.0,3,IB,MEAN,0.9307591026049241,0.0026595744680851063
1,FTT,LOAN,0.001,3,IB,MIN,0.6684892892620926,0.9998641511997147
1,FTT,LOAN,0.001,3,IB,MAX,0.6683534416152285,0.42756711779789097
1,FTT,LOAN,0.001,3,IB,MEDIAN,0.6682940082697255,0.32975598159248753
1,FTT,LOAN,0.001,3,IB,MEAN,0.6680138224980684,0.30263716483553804
4,SAINT,CovType,0.0,3,IB,MIN,0.0002887038327753544,0.9582798767089844
4,SAINT,CovType,0.0,3,IB,MAX,0.0007173852622509003,0.9582798767089844
4,SAINT,CovType,0.0,3,IB,MEDIAN,0.00014872620813548564,0.9582798767089844
4,SAINT,CovType,0.0,3,IB,MEAN,0.0004986702278256416,0.9582798767089844
0,SAINT,LOAN,0.001,3,IB,MIN,0.926201400756836,0.6672411346435547
0,SAINT,LOAN,0.001,3,IB,MAX,0.2204788589477539,0.6666468048095703
0,SAINT,LOAN,0.001,3,IB,MEDIAN,0.36873832702636716,0.6669440460205078
0,SAINT,LOAN,0.001,3,IB,MEAN,0.27378162384033206,0.6679458618164062
2,FTT,CovType,0.0,3,IB,MIN,0.9534349371358742,0.004645506718924972
2,FTT,CovType,0.0,3,IB,MAX,0.9534349371358742,0.0
2,FTT,CovType,0.0,3,IB,MEDIAN,0.9534349371358742,0.00018372060470324747
2,FTT,CovType,0.0,3,IB,MEAN,0.9534349371358742,0.000262458006718925
2,FTT,LOAN,0.001,3,IB,MIN,0.669660975216295,0.9997452834994651
2,FTT,LOAN,0.001,3,IB,MAX,0.6685572130855246,0.15502046222554297
2,FTT,LOAN,0.001,3,IB,MEDIAN,0.6689732465040457,0.2854183293993785
2,FTT,LOAN,0.001,3,IB,MEAN,0.6694317323122119,0.3127239382567203
0,SAINT,CovType,0.0001,3,IB,MIN,0.6269072341918945,0.9593814086914062
0,SAINT,CovType,0.0001,3,IB,MAX,0.6461278533935547,0.9591748809814453
0,SAINT,CovType,0.0001,3,IB,MEDIAN,0.10395087242126465,0.9573246765136719
0,SAINT,CovType,0.0001,3,IB,MEAN,0.15468400955200196,0.9578926849365235
1,SAINT,LOAN,0.001,3,IB,MIN,0.9877226257324219,0.6675043487548828
1,SAINT,LOAN,0.001,3,IB,MAX,0.9525377655029297,0.6666893005371094
1,SAINT,LOAN,0.001,3,IB,MEDIAN,0.46453495025634767,0.6660269927978516
1,SAINT,LOAN,0.001,3,IB,MEAN,0.40146713256835936,0.6664939880371094
3,FTT,LOAN,0.001,3,IB,MIN,0.6676826938588373,0.9998132078996077
3,FTT,LOAN,0.001,3,IB,MAX,0.6683449511372995,0.23495050009339605
3,FTT,LOAN,0.001,3,IB,MEDIAN,0.6669864746686591,0.3461767053269711
3,FTT,LOAN,0.001,3,IB,MEAN,0.6673006223520322,0.33140314829594664
2,TabNet,CovType,0.0,3,IB,MIN,0.942738139290724,0.0
2,TabNet,CovType,0.0,3,IB,MAX,0.942738139290724,0.0
2,TabNet,CovType,0.0,3,IB,MEDIAN,0.942738139290724,0.0005774076147816349
