EXP_NUM,MODEL,DATASET,POISONING_RATE,TRIGGER_SIZE,TRIGGER_TYPE,SELECTED_FEATURE,FEATURE_RANK,CDA,ASR
0,FTT,SYN10,0.0001,1,OOB,f1,8,0.96015,0.04362617570542325
1,FTT,SYN10,0.0001,1,OOB,f1,8,0.9627,0.039723834300580345
2,FTT,SYN10,0.0001,1,OOB,f1,8,0.9624,0.03812287372423454
0,FTT,SYN10,0.0005,1,OOB,f1,8,0.96105,0.042425455273163895
1,FTT,SYN10,0.0005,1,OOB,f1,8,0.96175,0.04722833700220132
2,FTT,SYN10,0.0005,1,OOB,f1,8,0.96045,0.040024014408645184
0,FTT,SYN10,0.001,1,OOB,f1,8,0.9604,0.05463277966780068
1,FTT,SYN10,0.001,1,OOB,f1,8,0.9628,0.04792875725435261
2,FTT,SYN10,0.001,1,OOB,f1,8,0.96235,0.051330798479087454
0,FTT,SYN10,0.002,1,OOB,f1,8,0.9612,0.08425055033019811
1,FTT,SYN10,0.002,1,OOB,f1,8,0.96085,0.8998399039423655
2,FTT,SYN10,0.002,1,OOB,f1,8,0.9592,0.32909745847508504
0,FTT,SYN10,0.003,1,OOB,f1,8,0.9615,0.9560736441865119
1,FTT,SYN10,0.003,1,OOB,f1,8,0.9622,0.9814888933360016
2,FTT,SYN10,0.003,1,OOB,f1,8,0.95995,0.9619771863117871
0,FTT,SYN10,0.004,1,OOB,f1,8,0.9611,0.9856914148489093
1,FTT,SYN10,0.004,1,OOB,f1,8,0.96135,0.9850910546327797
2,FTT,SYN10,0.004,1,OOB,f1,8,0.9615,0.9760856513908345
0,FTT,SYN10,0.005,1,OOB,f1,8,0.96055,0.9961977186311787
1,FTT,SYN10,0.005,1,OOB,f1,8,0.96085,0.9934960976585951
2,FTT,SYN10,0.005,1,OOB,f1,8,0.96165,0.9878927356413848
0,FTT,SYN10,0.0001,1,OOB,f2,2,0.96075,0.018611166700020013
1,FTT,SYN10,0.0001,1,OOB,f2,2,0.9629,0.021713027816690014
2,FTT,SYN10,0.0001,1,OOB,f2,2,0.9622,0.02061236742045227
0,FTT,SYN10,0.0005,1,OOB,f2,2,0.961,0.09855913548128878
0,FTT,LOAN,5e-05,1,OOB,acc_now_delinq,64,0.6669270413231561,0.9998132110714892
1,FTT,SYN10,0.0005,1,OOB,f2,2,0.9624,0.1333800280168101
2,FTT,SYN10,0.0005,1,OOB,f2,2,0.9614,0.1180708425055033
0,FTT,SYN10,0.001,1,OOB,f2,2,0.96025,0.8355013007804682
1,FTT,SYN10,0.001,1,OOB,f2,2,0.96295,0.7872723634180508
2,FTT,SYN10,0.001,1,OOB,f2,2,0.96235,0.746647988793276
0,FTT,SYN10,0.002,1,OOB,f2,2,0.9613,0.9418651190714429
1,FTT,SYN10,0.002,1,OOB,f2,2,0.9619,0.9555733440064038
2,FTT,SYN10,0.002,1,OOB,f2,2,0.9608,0.9780868521112668
0,FTT,SYN10,0.003,1,OOB,f2,2,0.96075,0.9687812687612568
1,FTT,SYN10,0.003,1,OOB,f2,2,0.9628,0.9859915949569742
2,FTT,SYN10,0.003,1,OOB,f2,2,0.9613,0.9760856513908345
0,FTT,SYN10,0.004,1,OOB,f2,2,0.9605,0.9923954372623575
1,FTT,SYN10,0.004,1,OOB,f2,2,0.96055,0.9911947168300981
2,FTT,SYN10,0.004,1,OOB,f2,2,0.9604,0.9881929157494497
0,FTT,SYN10,0.005,1,OOB,f2,2,0.95805,0.9979987992795677
1,FTT,SYN10,0.005,1,OOB,f2,2,0.96105,0.9802881729037423
2,FTT,SYN10,0.005,1,OOB,f2,2,0.9612,0.9993996397838704
0,FTT,SYN10,0.0001,1,OOB,f3,9,0.9609,0.03522113267960777
1,FTT,SYN10,0.0001,1,OOB,f3,9,0.9631,0.04182509505703422
2,FTT,SYN10,0.0001,1,OOB,f3,9,0.96225,0.03882329397638583
0,FTT,SYN10,0.0005,1,OOB,f3,9,0.96075,0.04032419451671002
1,FTT,SYN10,0.0005,1,OOB,f3,9,0.9622,0.04362617570542325
2,FTT,SYN10,0.0005,1,OOB,f3,9,0.9605,0.03872323394036422
0,FTT,SYN10,0.001,1,OOB,f3,9,0.9602,0.05163097858715229
1,FTT,SYN10,0.001,1,OOB,f3,9,0.96345,0.0455273163898339
1,FTT,LOAN,5e-05,1,OOB,acc_now_delinq,64,0.6635902834970581,0.9998132078996077
2,FTT,SYN10,0.001,1,OOB,f3,9,0.9621,0.04842905743446067
0,FTT,SYN10,0.002,1,OOB,f3,9,0.9619,0.059235541324794874
1,FTT,SYN10,0.002,1,OOB,f3,9,0.961,0.36682009205523314
0,TabNet,LOAN,0.0001,1,OOB,acc_now_delinq,64,0.6620280355581216,0.42414671421293937
2,FTT,SYN10,0.002,1,OOB,f3,9,0.9596,0.07694616770062038
0,FTT,SYN10,0.003,1,OOB,f3,9,0.9611,0.9450670402241345
1,FTT,SYN10,0.003,1,OOB,f3,9,0.96205,0.9443666199719832
2,FTT,SYN10,0.003,1,OOB,f3,9,0.96185,0.9067440464278567
0,FTT,SYN10,0.004,1,OOB,f3,9,0.96115,0.9884930958575145
1,FTT,SYN10,0.004,1,OOB,f3,9,0.96115,0.9857914748849309
2,FTT,SYN10,0.004,1,OOB,f3,9,0.96125,0.9723834300580348
0,SAINT,LOAN,0.0001,1,OOB,acc_now_delinq,64,0.31621667861938474,0.668540267944336
0,FTT,SYN10,0.005,1,OOB,f3,9,0.9615,0.9796878126876125
1,FTT,SYN10,0.005,1,OOB,f3,9,0.9604,0.9891935161096658
2,FTT,SYN10,0.005,1,OOB,f3,9,0.96175,0.9916950170102061
0,FTT,SYN10,0.0001,1,OOB,f4,3,0.9608,0.16399839903942365
1,FTT,SYN10,0.0001,1,OOB,f4,3,0.96285,0.15859515709425656
2,FTT,SYN10,0.0001,1,OOB,f4,3,0.96205,0.1573944366619972
0,SAINT,CovType,0.0005,1,OOB,Elevation,0,0.7109550476074219,0.9583917999267578
0,FTT,SYN10,0.0005,1,OOB,f4,3,0.96075,0.23804282569541724
1,FTT,SYN10,0.0005,1,OOB,f4,3,0.9622,0.2992795677406444
2,FTT,SYN10,0.0005,1,OOB,f4,3,0.9612,0.23474084450670402
0,FTT,SYN10,0.001,1,OOB,f4,3,0.95985,0.42255353211927155
1,FTT,SYN10,0.001,1,OOB,f4,3,0.96325,0.5785471282769662
2,FTT,SYN10,0.001,1,OOB,f4,3,0.96225,0.5009005403241945
0,FTT,SYN10,0.002,1,OOB,f4,3,0.96105,0.8823293976385832
1,FTT,SYN10,0.002,1,OOB,f4,3,0.9614,0.9249549729837903
2,FTT,SYN10,0.002,1,OOB,f4,3,0.9597,0.9900940564338603
0,FTT,SYN10,0.003,1,OOB,f4,3,0.9609,0.961476886131679
2,FTT,LOAN,5e-05,1,OOB,acc_now_delinq,64,0.6668506270217951,0.9998641511997147
1,FTT,SYN10,0.003,1,OOB,f4,3,0.9618,0.993295977586552
2,FTT,SYN10,0.003,1,OOB,f4,3,0.96135,0.9944966980188112
0,FTT,SYN10,0.004,1,OOB,f4,3,0.95995,0.9971983189913949
1,FTT,SYN10,0.004,1,OOB,f4,3,0.9619,0.9960976585951571
2,FTT,SYN10,0.004,1,OOB,f4,3,0.96045,0.9979987992795677
0,FTT,SYN10,0.005,1,OOB,f4,3,0.95925,0.9975985591354813
1,FTT,SYN10,0.005,1,OOB,f4,3,0.96025,0.9982989793876326
2,FTT,SYN10,0.005,1,OOB,f4,3,0.9603,0.9979987992795677
0,FTT,SYN10,0.0001,1,OOB,f5,4,0.9608,0.20872523514108465
1,FTT,SYN10,0.0001,1,OOB,f5,4,0.96305,0.23444066439863917
2,FTT,SYN10,0.0001,1,OOB,f5,4,0.9623,0.20702421452871722
0,FTT,SYN10,0.0005,1,OOB,f5,4,0.96085,0.25895537322393436
1,FTT,SYN10,0.0005,1,OOB,f5,4,0.96205,0.3160896537922754
2,FTT,SYN10,0.0005,1,OOB,f5,4,0.9611,0.3026816089653792
0,FTT,SYN10,0.001,1,OOB,f5,4,0.96135,0.4357614568741245
1,FTT,SYN10,0.001,1,OOB,f5,4,0.96285,0.4476686011606964
2,FTT,SYN10,0.001,1,OOB,f5,4,0.9625,0.43776265759455674
0,FTT,SYN10,0.002,1,OOB,f5,4,0.9623,0.5254152491494897
1,FTT,SYN10,0.002,1,OOB,f5,4,0.96145,0.8331999199519712
2,FTT,SYN10,0.002,1,OOB,f5,4,0.9615,0.7264358615169102
0,FTT,SYN10,0.003,1,OOB,f5,4,0.9627,0.9411646988192915
1,FTT,SYN10,0.003,1,OOB,f5,4,0.9625,0.8843305983590154
2,FTT,SYN10,0.003,1,OOB,f5,4,0.96245,0.807384430658395
0,FTT,SYN10,0.004,1,OOB,f5,4,0.96175,0.9504702821693016
0,FTT,CovType,0.0005,1,OOB,Elevation,0,0.95328003579942,0.9983640117581187
1,FTT,SYN10,0.004,1,OOB,f5,4,0.9615,0.9205523313988393
0,FTT,LOAN,0.0005,1,OOB,acc_now_delinq,64,0.666672326985286,0.999915095941586
2,FTT,SYN10,0.004,1,OOB,f5,4,0.96165,0.8541124674804883
0,FTT,SYN10,0.005,1,OOB,f5,4,0.96165,0.9592755653392036
1,FTT,SYN10,0.005,1,OOB,f5,4,0.9609,0.9602761656994196
2,FTT,SYN10,0.005,1,OOB,f5,4,0.961,0.9390634380628377
0,FTT,SYN10,0.0001,1,OOB,f6,0,0.9606,0.003201921152691615
1,FTT,SYN10,0.0001,1,OOB,f6,0,0.96315,0.0020012007204322593
1,TabNet,LOAN,0.0001,1,OOB,acc_now_delinq,64,0.6619940736464055,0.004499991509449982
2,FTT,SYN10,0.0001,1,OOB,f6,0,0.9623,0.0012007204322593557
0,FTT,SYN10,0.0005,1,OOB,f6,0,0.96145,0.006303782269361617
0,SAINT,SYN10,0.0001,1,OOB,f1,8,0.04442665576934814,0.9639499664306641
1,FTT,SYN10,0.0005,1,OOB,f6,0,0.9617,0.059135481288773266
2,FTT,SYN10,0.0005,1,OOB,f6,0,0.961,0.01821092655593356
0,FTT,SYN10,0.001,1,OOB,f6,0,0.96085,0.5748449069441665
1,FTT,SYN10,0.001,1,OOB,f6,0,0.96285,0.7102261356814088
2,FTT,SYN10,0.001,1,OOB,f6,0,0.96275,0.6355813488092855
1,SAINT,SYN10,0.0001,1,OOB,f1,8,0.047928757667541504,0.9630999755859375
