EXP_NUM,MODEL,DATASET,POISONING_RATE,TRIGGER_SIZE,TRIGGER_TYPE,SELECTED_FEATURE,FEATURE_RANK,CDA,ASR
0,FTT,SYN10,0.0001,1,OOB,f1,8,0.96015,0.0436261757054232
1,FTT,SYN10,0.0001,1,OOB,f1,8,0.9627,0.0397238343005803
2,FTT,SYN10,0.0001,1,OOB,f1,8,0.9624,0.0381228737242345
0,FTT,SYN10,0.0005,1,OOB,f1,8,0.96105,0.0424254552731638
1,FTT,SYN10,0.0005,1,OOB,f1,8,0.96175,0.0472283370022013
2,FTT,SYN10,0.0005,1,OOB,f1,8,0.96045,0.0400240144086451
0,FTT,SYN10,0.001,1,OOB,f1,8,0.9604,0.0546327796678006
1,FTT,SYN10,0.001,1,OOB,f1,8,0.9628,0.0479287572543526
2,FTT,SYN10,0.001,1,OOB,f1,8,0.96235,0.0513307984790874
0,FTT,SYN10,0.002,1,OOB,f1,8,0.9612,0.0842505503301981
1,FTT,SYN10,0.002,1,OOB,f1,8,0.96085,0.8998399039423655
2,FTT,SYN10,0.002,1,OOB,f1,8,0.9592,0.329097458475085
0,FTT,SYN10,0.003,1,OOB,f1,8,0.9615,0.956073644186512
1,FTT,SYN10,0.003,1,OOB,f1,8,0.9622,0.9814888933360016
2,FTT,SYN10,0.003,1,OOB,f1,8,0.95995,0.9619771863117872
0,FTT,SYN10,0.004,1,OOB,f1,8,0.9611,0.9856914148489092
1,FTT,SYN10,0.004,1,OOB,f1,8,0.96135,0.9850910546327796
2,FTT,SYN10,0.004,1,OOB,f1,8,0.9615,0.9760856513908344
0,FTT,SYN10,0.005,1,OOB,f1,8,0.96055,0.9961977186311788
1,FTT,SYN10,0.005,1,OOB,f1,8,0.96085,0.9934960976585951
2,FTT,SYN10,0.005,1,OOB,f1,8,0.96165,0.9878927356413848
0,FTT,SYN10,0.0001,1,OOB,f2,2,0.96075,0.01861116670002
1,FTT,SYN10,0.0001,1,OOB,f2,2,0.9629,0.02171302781669
2,FTT,SYN10,0.0001,1,OOB,f2,2,0.9622,0.0206123674204522
0,FTT,SYN10,0.0005,1,OOB,f2,2,0.961,0.0985591354812887
0,FTT,LOAN,5e-05,1,OOB,acc_now_delinq,64,0.6669270413231561,0.9998132110714892
1,FTT,SYN10,0.0005,1,OOB,f2,2,0.9624,0.1333800280168101
2,FTT,SYN10,0.0005,1,OOB,f2,2,0.9614,0.1180708425055033
0,FTT,SYN10,0.001,1,OOB,f2,2,0.96025,0.8355013007804682
1,FTT,SYN10,0.001,1,OOB,f2,2,0.96295,0.7872723634180508
2,FTT,SYN10,0.001,1,OOB,f2,2,0.96235,0.746647988793276
0,FTT,SYN10,0.002,1,OOB,f2,2,0.9613,0.9418651190714428
1,FTT,SYN10,0.002,1,OOB,f2,2,0.9619,0.9555733440064038
2,FTT,SYN10,0.002,1,OOB,f2,2,0.9608,0.9780868521112668
0,FTT,SYN10,0.003,1,OOB,f2,2,0.96075,0.9687812687612568
1,FTT,SYN10,0.003,1,OOB,f2,2,0.9628,0.9859915949569742
2,FTT,SYN10,0.003,1,OOB,f2,2,0.9613,0.9760856513908344
0,FTT,SYN10,0.004,1,OOB,f2,2,0.9605,0.9923954372623576
1,FTT,SYN10,0.004,1,OOB,f2,2,0.96055,0.991194716830098
2,FTT,SYN10,0.004,1,OOB,f2,2,0.9604,0.9881929157494496
0,FTT,SYN10,0.005,1,OOB,f2,2,0.95805,0.9979987992795676
1,FTT,SYN10,0.005,1,OOB,f2,2,0.96105,0.9802881729037424
2,FTT,SYN10,0.005,1,OOB,f2,2,0.9612,0.9993996397838704
0,FTT,SYN10,0.0001,1,OOB,f3,9,0.9609,0.0352211326796077
1,FTT,SYN10,0.0001,1,OOB,f3,9,0.9631,0.0418250950570342
2,FTT,SYN10,0.0001,1,OOB,f3,9,0.96225,0.0388232939763858
0,FTT,SYN10,0.0005,1,OOB,f3,9,0.96075,0.04032419451671
1,FTT,SYN10,0.0005,1,OOB,f3,9,0.9622,0.0436261757054232
2,FTT,SYN10,0.0005,1,OOB,f3,9,0.9605,0.0387232339403642
0,FTT,SYN10,0.001,1,OOB,f3,9,0.9602,0.0516309785871522
1,FTT,SYN10,0.001,1,OOB,f3,9,0.96345,0.0455273163898339
1,FTT,LOAN,5e-05,1,OOB,acc_now_delinq,64,0.6635902834970581,0.9998132078996076
2,FTT,SYN10,0.001,1,OOB,f3,9,0.9621,0.0484290574344606
0,FTT,SYN10,0.002,1,OOB,f3,9,0.9619,0.0592355413247948
1,FTT,SYN10,0.002,1,OOB,f3,9,0.961,0.3668200920552331
0,TabNet,LOAN,0.0001,1,OOB,acc_now_delinq,64,0.6620280355581216,0.4241467142129393
2,FTT,SYN10,0.002,1,OOB,f3,9,0.9596,0.0769461677006203
0,FTT,SYN10,0.003,1,OOB,f3,9,0.9611,0.9450670402241343
1,FTT,SYN10,0.003,1,OOB,f3,9,0.96205,0.9443666199719832
2,FTT,SYN10,0.003,1,OOB,f3,9,0.96185,0.9067440464278568
0,FTT,SYN10,0.004,1,OOB,f3,9,0.96115,0.9884930958575144
1,FTT,SYN10,0.004,1,OOB,f3,9,0.96115,0.9857914748849308
2,FTT,SYN10,0.004,1,OOB,f3,9,0.96125,0.9723834300580348
0,SAINT,LOAN,0.0001,1,OOB,acc_now_delinq,64,0.668540267944336,0.3162166786193847
0,FTT,SYN10,0.005,1,OOB,f3,9,0.9615,0.9796878126876124
1,FTT,SYN10,0.005,1,OOB,f3,9,0.9604,0.9891935161096658
2,FTT,SYN10,0.005,1,OOB,f3,9,0.96175,0.991695017010206
0,FTT,SYN10,0.0001,1,OOB,f4,3,0.9608,0.1639983990394236
